state,state_code,district_name,assembly_constituency_name,assembly_constituency_no,parliamentary_constituency_name,polling_station_name,polling_station_id,polling_station_type,polling_station_address,gps_lat,gps_lon,total_electors,male_electors,female_electors,other_electors,votes_polled,valid_votes,rejected_votes,candidate_1_name,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_party,candidate_2_votes,gender_ratio_flag,caste_group,religion_group,age_category
Tamil Nadu,TN,Coimbatore,AC_120,120,PC_20,Booth_2932001,2932001,Auxiliary,Singanallur Bus Stand,11.0033,77.0333,1899,988,911,0,1678,1675,3,P R Natarajan,CPM,1345,K Natraj,BJP,330,Male-Skewed,General,Hindu,18-25
Kerala,KL,Thrissur,AC_067,67,PC_10,Booth_2933001,2933001,Main,Thrissur Sakthan Nagar,10.5167,76.2167,1923,922,1001,0,1698,1695,3,Suresh Gopi,BJP,1456,T N Prathapan,INC,239,Female-Skewed,General,Hindu,18-25
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_2934001,2934001,Auxiliary,Nagpur Ajni Railway,21.1167,79.0833,1987,1077,910,0,1765,1761,4,Nitin Gadkari,BJP,1567,Nana Patole,INC,194,Male-Skewed,SC,Muslim,51-65
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_2935001,2935001,Main,Surat Adajan,21.1959,72.7932,1999,1088,911,0,1789,1786,3,Darshanaben Jardosh,BJP,1567,Ashok Patel,INC,219,Male-Skewed,General,Muslim,18-25
Rajasthan,RJ,Jaipur,AC_056,56,PC_07,Booth_2936001,2936001,Main,Jaipur Tonk Road,26.9,75.8,1987,1077,910,0,1765,1761,4,Ramcharan Bohra,BJP,1456,Sunil Sharma,INC,305,Male-Skewed,SC,Hindu,26-35
Uttar Pradesh,UP,Kanpur,AC_216,216,PC_43,Booth_2937001,2937001,Auxiliary,Kanpur Panki Power House,26.4667,80.2333,1976,1066,910,0,1723,1719,4,Satya Dev Pachauri,BJP,1456,Alok Misra,INC,263,Male-Skewed,General,Hindu,51-65
Bihar,BR,Muzaffarpur,AC_094,94,PC_16,Booth_2938001,2938001,Main,Muzaffarpur Kalyani,26.1167,85.3833,1865,988,877,0,1587,1584,3,Ajay Nishad,BJP,1345,Vikassheel Insaan,VIP,350,Male-Skewed,SC,Hindu,18-25
Odisha,OR,Puri,AC_107,107,PC_17,Booth_2939001,2939001,Auxiliary,Puri Grand Road,19.8,85.8333,1799,922,877,0,1523,1520,3,Pinaki Misra,BJD,1345,Sambit Patra,BJP,286,Male-Skewed,General,Hindu,51-65
Madhya Pradesh,MP,Gwalior,AC_015,15,PC_03,Booth_2940001,2940001,Main,Gwalior Morar Cantt,26.2333,78.2333,1888,999,889,0,1654,1651,3,Vivek Shejwalkar,BJP,1456,Ashok Singh,INC,306,Male-Skewed,SC,Christian,51-65
West Bengal,WB,Bardhaman Purba,AC_275,275,PC_38,Booth_2941001,2941001,Main,Katwa College Road,23.65,88.1333,1823,944,879,0,1587,1584,3,Sunil Kumar Mondal,TMC,1345,Paresh Chandra Das,BJP,450,Male-Skewed,OBC,Muslim,18-25
Jharkhand,JH,Hazaribagh,AC_025,25,PC_14,Booth_2942001,2942001,Auxiliary,Hazaribagh Medical College,23.9833,85.3667,1799,955,844,0,1523,1520,3,Jayant Sinha,BJP,1345,Gopal Sahu,INC,286,Male-Skewed,OBC,Hindu,36-50
Assam,AS,Jorhat,AC_100,100,PC_12,Booth_2943001,2943001,Main,Jorhat Circuit House,26.75,94.2,1799,944,855,0,1523,1520,3,Topon Kumar Gogoi,BJP,1345,Gaurav Gogoi,INC,286,Male-Skewed,SC,Hindu,36-50
Telangana,TS,Karimnagar,AC_026,26,PC_03,Booth_2944001,2944001,Main,Karimnagar Satavahana University,18.4333,79.15,1923,999,924,0,1698,1695,3,Bandi Sanjay Kumar,BJP,1456,Vinod Kumar Boinapally,TRS,239,Male-Skewed,General,Hindu,26-35
Andhra Pradesh,AP,Kadapa,AC_130,130,PC_19,Booth_2945001,2945001,Auxiliary,Kadapa Railway Colony,14.4667,78.8167,1823,944,879,0,1587,1584,3,YS Avinash Reddy,YSRCP,1456,Adi Narayana Reddy,TDP,328,Male-Skewed,SC,Hindu,36-50
Tamil Nadu,TN,Tirunelveli,AC_225,225,PC_38,Booth_2946001,2946001,Main,Tirunelveli Junction,8.7139,77.7567,1888,955,933,0,1654,1651,3,S Gnanathiraviam,DMK,1456,Paul Manoj Pandian,AIADMK,306,Male-Skewed,General,Hindu,18-25
Kerala,KL,Kollam,AC_118,118,PC_18,Booth_2947001,2947001,Auxiliary,Kollam Port Road,8.8833,76.5833,1899,877,1022,0,1678,1675,3,N K Premachandran,RSP,1456,Mukesh,CPM,330,Female-Skewed,General,Sikh,18-25
Maharashtra,MH,Thane,AC_147,147,PC_25,Booth_2948001,2948001,Main,Thane Pokhran Road,19.2,72.9667,2011,1099,912,0,1789,1786,3,Rajendra Gavit,SHS,1567,Anand Paranjpe,NCP,219,Male-Skewed,General,Hindu,18-25
Gujarat,GJ,Ahmedabad West,AC_043,43,PC_07,Booth_2949001,2949001,Auxiliary,Ahmedabad SG Highway,23.0333,72.5167,1999,1088,911,0,1789,1786,3,Kirit Solanki,BJP,1567,Rajkumar Sharma,INC,219,Male-Skewed,General,Hindu,26-35
Rajasthan,RJ,Jodhpur,AC_128,128,PC_16,Booth_2950001,2950001,Main,Jodhpur Air Force Area,26.2667,73.0333,1844,988,856,0,1567,1564,3,Gajendra Singh Shekhawat,BJP,1456,Ashok Gehlot,INC,311,Male-Skewed,OBC,Hindu,18-25
Uttar Pradesh,UP,Varanasi,AC_389,389,PC_77,Booth_2951001,2951001,Main,Varanasi Cantt Station,25.3167,82.9667,1976,1077,899,0,1723,1719,4,Narendra Modi,BJP,1567,Ajay Rai,INC,152,Male-Skewed,OBC,Hindu,36-50
Bihar,BR,Patna Sahib,AC_184,184,PC_30,Booth_2952001,2952001,Main,Patna Gulzarbagh,25.6,85.2167,1954,1066,888,0,1698,1695,3,Ravi Shankar Prasad,BJP,1456,Shatrughan Sinha,INC,239,Male-Skewed,General,Muslim,36-50
Odisha,OR,Bhubaneswar,AC_113,113,PC_18,Booth_2953001,2953001,Auxiliary,Bhubaneswar Khandagiri,20.2667,85.7833,1923,999,924,0,1698,1695,3,Aparajita Sarangi,BJP,1456,Arup Patnaik,BJD,239,Male-Skewed,General,Hindu,36-50
Madhya Pradesh,MP,Indore,AC_206,206,PC_26,Booth_2954001,2954001,Main,Indore Dewas Naka,22.7167,75.8667,2011,1099,912,0,1789,1786,3,Shankar Lalwani,BJP,1567,Akshay Kanti Bam,INC,219,Male-Skewed,OBC,Hindu,51-65
West Bengal,WB,Howrah,AC_174,174,PC_25,Booth_2955001,2955001,Auxiliary,Howrah Belur Math Road,22.6333,88.35,1899,999,900,0,1678,1675,3,Prasun Banerjee,TMC,1456,Rathindra Nath Roy,BJP,219,Male-Skewed,SC,Sikh,36-50
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_2956001,2956001,Main,Jamshedpur Bistupur,22.8,86.1833,1954,1055,899,0,1698,1695,3,Bidyut Baran Mahato,BJP,1456,Champai Soren,JMM,239,Male-Skewed,OBC,Hindu,36-50
Assam,AS,Silchar,AC_009,9,PC_02,Booth_2957001,2957001,Main,Silchar Polytechnic Road,24.8333,92.7833,1799,944,855,0,1523,1520,3,Rajdeep Roy,BJP,1345,Sushmita Dev,INC,175,Male-Skewed,General,Hindu,26-35
Telangana,TS,Secunderabad,AC_070,70,PC_08,Booth_2958001,2958001,Main,Secunderabad Jubilee Bus Station,17.4333,78.5167,1999,1099,900,0,1789,1786,3,G Kishan Reddy,BJP,1567,Talari Rakesh,TRS,219,Male-Skewed,General,Hindu,36-50
Andhra Pradesh,AP,Vijayawada,AC_080,80,PC_12,Booth_2959001,2959001,Auxiliary,Vijayawada MG Road,16.5062,80.648,1976,1066,910,0,1723,1719,4,Kesineni Srinivas,TDP,1456,Prasad V Potluri,YSRCP,263,Male-Skewed,SC,Hindu,36-50
Tamil Nadu,TN,Coimbatore,AC_120,120,PC_20,Booth_2960001,2960001,Main,Coimbatore RS Puram,11.0167,76.95,1899,988,911,0,1678,1675,3,P R Natarajan,CPM,1345,K Natraj,BJP,330,Male-Skewed,General,Hindu,26-35
Kerala,KL,Thrissur,AC_067,67,PC_10,Booth_2961001,2961001,Auxiliary,Thrissur Punkunnam,10.5333,76.2,1923,922,1001,0,1698,1695,3,Suresh Gopi,BJP,1456,T N Prathapan,INC,239,Female-Skewed,General,Hindu,18-25
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_2962001,2962001,Main,Nagpur Gandhinagar,21.1333,79.1,1987,1077,910,0,1765,1761,4,Nitin Gadkari,BJP,1567,Nana Patole,INC,194,Male-Skewed,General,Hindu,18-25
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_2963001,2963001,Auxiliary,Surat Udhna,21.1667,72.8333,1999,1088,911,0,1789,1786,3,Darshanaben Jardosh,BJP,1567,Ashok Patel,INC,219,Male-Skewed,General,Muslim,18-25
Rajasthan,RJ,Jaipur,AC_056,56,PC_07,Booth_2964001,2964001,Main,Jaipur Vaishali Nagar,26.9167,75.7333,1987,1077,910,0,1765,1761,4,Ramcharan Bohra,BJP,1456,Sunil Sharma,INC,305,Male-Skewed,OBC,Hindu,51-65
Uttar Pradesh,UP,Kanpur,AC_216,216,PC_43,Booth_2965001,2965001,Main,Kanpur Kidwai Nagar,26.4667,80.3167,1976,1066,910,0,1723,1719,4,Satya Dev Pachauri,BJP,1456,Alok Misra,INC,263,Male-Skewed,OBC,Hindu,36-50
Bihar,BR,Muzaffarpur,AC_094,94,PC_16,Booth_2966001,2966001,Auxiliary,Muzaffarpur Mithanpura,26.1167,85.4,1865,988,877,0,1587,1584,3,Ajay Nishad,BJP,1345,Vikassheel Insaan,VIP,350,Male-Skewed,SC,Hindu,26-35
Odisha,OR,Puri,AC_107,107,PC_17,Booth_2967001,2967001,Main,Puri Swargadwar,19.8,85.85,1799,922,877,0,1523,1520,3,Pinaki Misra,BJD,1345,Sambit Patra,BJP,286,Male-Skewed,SC,Hindu,26-35
Madhya Pradesh,MP,Gwalior,AC_015,15,PC_03,Booth_2968001,2968001,Main,Gwalior City Center,26.2167,78.1667,1888,999,889,0,1654,1651,3,Vivek Shejwalkar,BJP,1456,Ashok Singh,INC,306,Male-Skewed,OBC,Hindu,51-65
West Bengal,WB,Barrackpore,AC_103,103,PC_15,Booth_2969001,2969001,Main,Barrackpore Wireless,22.7667,88.3667,1865,988,877,0,1587,1584,3,Arjun Singh,BJP,1234,Partha Bhowmick,TMC,560,Male-Skewed,SC,Hindu,36-50
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_2970001,2970001,Main,Jamshedpur Kadma,22.8,86.1667,1954,1055,899,0,1698,1695,3,Bidyut Baran Mahato,BJP,1456,Champai Soren,JMM,239,Male-Skewed,OBC,Hindu,26-35
Assam,AS,Guwahati,AC_053,53,PC_07,Booth_2971001,2971001,Auxiliary,Guwahati Zoo Road,26.1667,91.7833,1987,1077,910,0,1765,1761,4,Queen Oja,BJP,1345,Bobbeeta Sharma,INC,416,Male-Skewed,OBC,Muslim,26-35
Telangana,TS,Hyderabad,AC_092,92,PC_08,Booth_2972001,2972001,Main,Hyderabad Banjara Hills,17.4167,78.4333,2011,1100,911,0,1789,1786,3,Asaduddin Owaisi,AIMIM,1567,Bhagavanth Rao,BJP,219,Male-Skewed,General,Hindu,26-35
Tamil Nadu,TN,Chennai South,AC_001,1,PC_03,Booth_2974001,2974001,Main,Chennai Mylapore,13.0333,80.2667,1923,988,935,0,1698,1695,3,Thamizhachi Thangapandian,DMK,1456,J Jayavardhan,AIADMK,239,Male-Skewed,SC,Hindu,51-65
Kerala,KL,Ernakulam,AC_082,82,PC_12,Booth_2975001,2975001,Main,Ernakulam Kadavanthra,9.9667,76.3,1976,933,1043,0,1723,1719,4,Hibi Eden,INC,1345,Alphons Kannanthanam,BJP,374,Female-Skewed,General,Christian,36-50
Maharashtra,MH,Mumbai North Central,AC_164,164,PC_29,Booth_2976001,2976001,Auxiliary,Mumbai Andheri East,19.1167,72.8667,2011,1099,912,0,1789,1786,3,Poonam Mahajan,BJP,1567,Priya Dutt,INC,219,Male-Skewed,General,Hindu,18-25
Gujarat,GJ,Ahmedabad West,AC_043,43,PC_07,Booth_2977001,2977001,Main,Ahmedabad Bodakdev,23.0333,72.5,1999,1088,911,0,1789,1786,3,Kirit Solanki,BJP,1567,Rajkumar Sharma,INC,219,Male-Skewed,OBC,Hindu,36-50
Rajasthan,RJ,Jodhpur,AC_128,128,PC_16,Booth_2978001,2978001,Auxiliary,Jodhpur Sardarpura,26.2833,73,1844,988,856,0,1567,1564,3,Gajendra Singh Shekhawat,BJP,1456,Ashok Gehlot,INC,311,Male-Skewed,SC,Sikh,18-25
Uttar Pradesh,UP,Varanasi,AC_389,389,PC_77,Booth_2979001,2979001,Main,Varanasi Lahurabir,25.3333,82.9833,1976,1077,899,0,1723,1719,4,Narendra Modi,BJP,1567,Ajay Rai,INC,152,Male-Skewed,General,Hindu,36-50
Bihar,BR,Patna Sahib,AC_184,184,PC_30,Booth_2980001,2980001,Auxiliary,Patna Digha,25.6333,85.1,1954,1066,888,0,1698,1695,3,Ravi Shankar Prasad,BJP,1456,Shatrughan Sinha,INC,239,Male-Skewed,OBC,Muslim,26-35
Odisha,OR,Bhubaneswar,AC_113,113,PC_18,Booth_2981001,2981001,Main,Bhubaneswar Unit-8,20.2833,85.85,1923,999,924,0,1698,1695,3,Aparajita Sarangi,BJP,1456,Arup Patnaik,BJD,239,Male-Skewed,OBC,Hindu,36-50
Madhya Pradesh,MP,Indore,AC_206,206,PC_26,Booth_2982001,2982001,Auxiliary,Indore Rau,22.6333,75.8,2011,1099,912,0,1789,1786,3,Shankar Lalwani,BJP,1567,Akshay Kanti Bam,INC,219,Male-Skewed,General,Hindu,26-35
West Bengal,WB,Howrah,AC_174,174,PC_25,Booth_2983001,2983001,Main,Howrah Liluah,22.6167,88.35,1899,999,900,0,1678,1675,3,Prasun Banerjee,TMC,1456,Rathindra Nath Roy,BJP,219,Male-Skewed,OBC,Hindu,26-35
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_2984001,2984001,Main,Jamshedpur Mango,22.8333,86.2167,1954,1055,899,0,1698,1695,3,Bidyut Baran Mahato,BJP,1456,Champai Soren,JMM,239,Male-Skewed,General,Hindu,26-35
Assam,AS,Silchar,AC_009,9,PC_02,Booth_2985001,2985001,Auxiliary,Silchar Tarapur,24.8333,92.8,1799,944,855,0,1523,1520,3,Rajdeep Roy,BJP,1345,Sushmita Dev,INC,175,Male-Skewed,General,Hindu,26-35
Telangana,TS,Secunderabad,AC_070,70,PC_08,Booth_2986001,2986001,Main,Secunderabad Bowenpally,17.4667,78.4833,1999,1099,900,0,1789,1786,3,G Kishan Reddy,BJP,1567,Talari Rakesh,TRS,219,Male-Skewed,General,Hindu,26-35
Andhra Pradesh,AP,Vijayawada,AC_080,80,PC_12,Booth_2987001,2987001,Main,Vijayawada Governorpet,16.5167,80.6167,1976,1066,910,0,1723,1719,4,Kesineni Srinivas,TDP,1456,Prasad V Potluri,YSRCP,263,Male-Skewed,SC,Hindu,26-35
Tamil Nadu,TN,Coimbatore,AC_120,120,PC_20,Booth_2988001,2988001,Auxiliary,Coimbatore Saibaba Colony,11.0333,76.95,1899,988,911,0,1678,1675,3,P R Natarajan,CPM,1345,K Natraj,BJP,330,Male-Skewed,OBC,Christian,51-65
Kerala,KL,Thrissur,AC_067,67,PC_10,Booth_2989001,2989001,Main,Thrissur Ollur,10.4667,76.2333,1923,922,1001,0,1698,1695,3,Suresh Gopi,BJP,1456,T N Prathapan,INC,239,Female-Skewed,OBC,Hindu,36-50
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_2990001,2990001,Auxiliary,Nagpur Dharampeth,21.1333,79.0667,1987,1077,910,0,1765,1761,4,Nitin Gadkari,BJP,1567,Nana Patole,INC,194,Male-Skewed,OBC,Hindu,26-35
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_2991001,2991001,Main,Surat Nanpura,21.1833,72.8167,1999,1088,911,0,1789,1786,3,Darshanaben Jardosh,BJP,1567,Ashok Patel,INC,219,Male-Skewed,General,Muslim,51-65
Rajasthan,RJ,Jaipur,AC_056,56,PC_07,Booth_2992001,2992001,Auxiliary,Jaipur Bani Park,26.9333,75.8,1987,1077,910,0,1765,1761,4,Ramcharan Bohra,BJP,1456,Sunil Sharma,INC,305,Male-Skewed,OBC,Hindu,26-35
Uttar Pradesh,UP,Varanasi,AC_389,389,PC_77,Booth_2993001,2993001,Main,Varanasi Assi Ghat,25.3,83,1976,1077,899,0,1723,1719,4,Narendra Modi,BJP,1567,Ajay Rai,INC,152,Male-Skewed,General,Hindu,51-65
Bihar,BR,Patna Sahib,AC_184,184,PC_30,Booth_2994001,2994001,Auxiliary,Patna Fraser Road,25.6167,85.15,1954,1066,888,0,1698,1695,3,Ravi Shankar Prasad,BJP,1456,Shatrughan Sinha,INC,239,Male-Skewed,General,Muslim,65+
Odisha,OR,Bhubaneswar,AC_113,113,PC_18,Booth_2995001,2995001,Main,Bhubaneswar Chandrasekharpur,20.3333,85.8167,1923,999,924,0,1698,1695,3,Aparajita Sarangi,BJP,1456,Arup Patnaik,BJD,239,Male-Skewed,General,Hindu,36-50
Madhya Pradesh,MP,Indore,AC_206,206,PC_26,Booth_2996001,2996001,Auxiliary,Indore Palasia,22.7167,75.9,2011,1099,912,0,1789,1786,3,Shankar Lalwani,BJP,1567,Akshay Kanti Bam,INC,219,Male-Skewed,OBC,Hindu,26-35
West Bengal,WB,Howrah,AC_174,174,PC_25,Booth_2997001,2997001,Main,Howrah Kadamtala,22.6,88.3333,1899,999,900,0,1678,1675,3,Prasun Banerjee,TMC,1456,Rathindra Nath Roy,BJP,219,Male-Skewed,OBC,Other,26-35
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_2998001,2998001,Auxiliary,Jamshedpur Bistupur Park,22.8,86.2,1954,1055,899,0,1698,1695,3,Bidyut Baran Mahato,BJP,1456,Champai Soren,JMM,239,Male-Skewed,General,Christian,26-35
Assam,AS,Silchar,AC_009,9,PC_02,Booth_2999001,2999001,Main,Silchar Sonai Road,24.7333,92.7667,1799,944,855,0,1523,1520,3,Rajdeep Roy,BJP,1345,Sushmita Dev,INC,175,Male-Skewed,General,Muslim,26-35
Telangana,TS,Secunderabad,AC_070,70,PC_08,Booth_3000001,3000001,Auxiliary,Secunderabad Tarnaka,17.4333,78.5333,1999,1099,900,0,1789,1786,3,G Kishan Reddy,BJP,1567,Talari Rakesh,TRS,219,Male-Skewed,General,Hindu,18-25
Andhra Pradesh,AP,Vijayawada,AC_080,80,PC_12,Booth_3001001,3001001,Main,Vijayawada Labbipet,16.5,80.6667,1976,1066,910,0,1723,1719,4,Kesineni Srinivas,TDP,1456,Prasad V Potluri,YSRCP,263,Male-Skewed,General,Christian,65+
Tamil Nadu,TN,Coimbatore,AC_120,120,PC_20,Booth_3002001,3002001,Auxiliary,Coimbatore Podanur,10.9667,76.9833,1899,988,911,0,1678,1675,3,P R Natarajan,CPM,1345,K Natraj,BJP,330,Male-Skewed,General,Hindu,36-50
Kerala,KL,Thrissur,AC_067,67,PC_10,Booth_3003001,3003001,Main,Thrissur East Fort,10.5167,76.2167,1923,922,1001,0,1698,1695,3,Suresh Gopi,BJP,1456,T N Prathapan,INC,239,Female-Skewed,OBC,Sikh,36-50
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_3004001,3004001,Auxiliary,Nagpur Mankapur,21.1667,79.1167,1987,1077,910,0,1765,1761,4,Nitin Gadkari,BJP,1567,Nana Patole,INC,194,Male-Skewed,SC,Sikh,26-35
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_3005001,3005001,Main,Surat Athwalines,21.1833,72.8,1999,1088,911,0,1789,1786,3,Darshanaben Jardosh,BJP,1567,Ashok Patel,INC,219,Male-Skewed,General,Hindu,36-50
Rajasthan,RJ,Jaipur,AC_056,56,PC_07,Booth_3006001,3006001,Auxiliary,Jaipur Raja Park,26.9,75.8333,1987,1077,910,0,1765,1761,4,Ramcharan Bohra,BJP,1456,Sunil Sharma,INC,305,Male-Skewed,OBC,Hindu,26-35
Uttar Pradesh,UP,Varanasi,AC_389,389,PC_77,Booth_3007001,3007001,Main,Varanasi Sigra,25.3167,83,1976,1077,899,0,1723,1719,4,Narendra Modi,BJP,1567,Ajay Rai,INC,152,Male-Skewed,General,Hindu,18-25
Bihar,BR,Patna Sahib,AC_184,184,PC_30,Booth_3008001,3008001,Auxiliary,Patna Bazar Samiti,25.6,85.1667,1954,1066,888,0,1698,1695,3,Ravi Shankar Prasad,BJP,1456,Shatrughan Sinha,INC,239,Male-Skewed,OBC,Hindu,36-50
Odisha,OR,Bhubaneswar,AC_113,113,PC_18,Booth_3009001,3009001,Main,Bhubaneswar Saheed Nagar,20.2833,85.8667,1923,999,924,0,1698,1695,3,Aparajita Sarangi,BJP,1456,Arup Patnaik,BJD,239,Male-Skewed,ST,Hindu,26-35
Madhya Pradesh,MP,Indore,AC_206,206,PC_26,Booth_3010001,3010001,Main,Indore Annapurna Road,22.7,75.85,2011,1099,912,0,1789,1786,3,Shankar Lalwani,BJP,1567,Akshay Kanti Bam,INC,219,Male-Skewed,SC,Hindu,26-35
West Bengal,WB,Howrah,AC_174,174,PC_25,Booth_3011001,3011001,Auxiliary,Howrah Bally,22.65,88.3333,1899,999,900,0,1678,1675,3,Prasun Banerjee,TMC,1456,Rathindra Nath Roy,BJP,219,Male-Skewed,General,Muslim,26-35
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_3012001,3012001,Main,Jamshedpur Telco,22.8,86.2333,1954,1055,899,0,1698,1695,3,Bidyut Baran Mahato,BJP,1456,Champai Soren,JMM,239,Male-Skewed,General,Muslim,18-25
Assam,AS,Silchar,AC_009,9,PC_02,Booth_3013001,3013001,Main,Silchar Lakhipur Road,24.8,92.7833,1799,944,855,0,1523,1520,3,Rajdeep Roy,BJP,1345,Sushmita Dev,INC,175,Male-Skewed,ST,Hindu,18-25
Telangana,TS,Secunderabad,AC_070,70,PC_08,Booth_3014001,3014001,Auxiliary,Secunderabad Alwal,17.5,78.5167,1999,1099,900,0,1789,1786,3,G Kishan Reddy,BJP,1567,Talari Rakesh,TRS,219,Male-Skewed,OBC,Buddhist,36-50
Andhra Pradesh,AP,Vijayawada,AC_080,80,PC_12,Booth_3015001,3015001,Main,Vijayawada Machavaram,16.5167,80.6333,1976,1066,910,0,1723,1719,4,Kesineni Srinivas,TDP,1456,Prasad V Potluri,YSRCP,263,Male-Skewed,OBC,Muslim,26-35
Tamil Nadu,TN,Coimbatore,AC_120,120,PC_20,Booth_3016001,3016001,Auxiliary,Coimbatore Town Hall,11.0167,76.9667,1899,988,911,0,1678,1675,3,P R Natarajan,CPM,1345,K Natraj,BJP,330,Male-Skewed,OBC,Hindu,36-50
Kerala,KL,Thrissur,AC_067,67,PC_10,Booth_3017001,3017001,Main,Thrissur Kuriachira,10.5167,76.2333,1923,922,1001,0,1698,1695,3,Suresh Gopi,BJP,1456,T N Prathapan,INC,239,Female-Skewed,OBC,Hindu,26-35
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_3018001,3018001,Auxiliary,Nagpur Seminary Hills,21.1667,79.0667,1987,1077,910,0,1765,1761,4,Nitin Gadkari,BJP,1567,Nana Patole,INC,194,Male-Skewed,General,Muslim,51-65
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_3019001,3019001,Main,Surat Bhatar Road,21.1833,72.8167,1999,1088,911,0,1789,1786,3,Darshanaben Jardosh,BJP,1567,Ashok Patel,INC,219,Male-Skewed,OBC,Sikh,36-50
Rajasthan,RJ,Jaipur,AC_056,56,PC_07,Booth_3020001,3020001,Auxiliary,Jaipur Mansarovar,26.8667,75.7667,1987,1077,910,0,1765,1761,4,Ramcharan Bohra,BJP,1456,Sunil Sharma,INC,305,Male-Skewed,OBC,Muslim,36-50
Rajasthan,RJ,Jaipur,AC_178,178,PC_29,Booth_26520,26520,Auxiliary,Govt School Area 56,26.9124,75.7873,1601,775,683,143,856,856,0,Rajesh Sharma,BJP,165,Anil Meena,INC,691,Male-Skewed,SC,Muslim,36-50
Assam,AS,Kamrup Metropolitan,AC_44,44,PC_62,Booth_28363,28363,Main,Guwahati University Area,26.1545,91.7362,675,235,319,121,531,526,5,Rohit Das,BJP,460,Partha Hazarika,INC,66,Female-Skewed,OBC,Christian,51-65
Punjab,PB,Amritsar,AC_223,223,PC_68,Booth_41325,41325,Auxiliary,Golden Temple Area,31.634,74.8723,1448,375,882,191,750,748,2,Sukhbir Singh,BJP,451,Harpreet Kaur,INC,297,Female-Skewed,General,Hindu,36-50
Manipur,MN,Imphal West,AC_213,213,PC_28,Booth_66697,66697,Auxiliary,Kangla Fort Area,24.817,93.9368,1506,250,126,1130,1031,1021,10,Thangjam Ranjit,INC,883,Laishram Rajesh,BJP,138,Male-Skewed,General,Hindu,18-25
Andhra Pradesh,AP,Visakhapatnam,AC_59,59,PC_26,Booth_51236,51236,Main,Gajuwaka Area,17.6868,83.2185,1095,308,705,82,812,799,13,Chandra Sekhar,BJP,764,Satya Reddy,YSRCP,35,Female-Skewed,General,Christian,26-35
Chhattisgarh,CG,Bilaspur,AC_2,2,PC_75,Booth_92019,92019,Auxiliary,Korba Road Area,22.0798,82.1391,1718,629,605,484,893,875,18,Ajay Verma,BJP,368,Rahul Sahu,INC,507,Male-Skewed,OBC,Hindu,65+
Uttar Pradesh,UP,Lucknow,AC_256,256,PC_69,Booth_23335,23335,Main,Gomti Nagar Area,26.8467,80.9462,613,237,289,87,321,308,13,Rahul Yadav,BJP,160,Arvind Sharma,INC,148,Female-Skewed,General,Hindu,18-25
Meghalaya,ML,East Khasi Hills,AC_54,54,PC_2,Booth_65359,65359,Main,Shillong Peak Area,25.5788,91.8933,1053,433,199,421,1038,1030,8,Paul Lyngdoh,INC,934,James Marak,BJP,96,Male-Skewed,OBC,Christian,36-50
Telangana,TS,Hyderabad,AC_92,92,PC_68,Booth_52391,52391,Auxiliary,Banjara Hills Area,17.385,78.4867,1745,1398,118,229,993,982,11,K Chandrashekar Rao,TRS,938,Anil Kumar,BJP,44,Male-Skewed,ST,Hindu,36-50
Andhra Pradesh,AP,Krishna,AC_272,272,PC_13,Booth_97866,97866,Main,Vijayawada One Town,16.5062,80.648,644,343,251,50,467,466,1,N Chandrababu Naidu,TDP,120,YS Jagan Mohan Reddy,YSRCP,346,Male-Skewed,General,Hindu,51-65
Punjab,PB,Ludhiana,AC_88,88,PC_15,Booth_43585,43585,Auxiliary,Model Town Area,30.901,75.8573,1619,970,148,501,1193,1174,19,Navjot Singh Sidhu,INC,1053,Harminder Singh,BJP,121,Male-Skewed,SC,Hindu,36-50
Jharkhand,JH,Ranchi,AC_272,272,PC_72,Booth_14527,14527,Main,Harmu Housing Colony,23.3441,85.3096,1092,625,187,280,1091,1085,6,Sanjay Seth,BJP,349,Sudesh Mahto,AJSU,736,Male-Skewed,SC,Hindu,51-65
Mizoram,MZ,Aizawl,AC_256,256,PC_52,Booth_58834,58834,Auxiliary,Chanmari Area,23.7361,92.7178,1671,585,580,506,1566,1561,5,Lalduhoma,ZPM,408,K Vanlalvena,MNF,1153,Male-Skewed,General,Hindu,26-35
Himachal Pradesh,HP,Shimla,AC_101,101,PC_61,Booth_65417,65417,Auxiliary,The Ridge Area,31.1048,77.1734,1356,1022,229,105,1084,1079,5,Suresh Kashyap,BJP,396,Dhani Ram Shandil,INC,683,Male-Skewed,General,Hindu,26-35
